"annee","jours_glissants","code_station","VCNx_annuel_spe"
"2013",10,"E172601002",8.8437984496124
"2014",10,"E172601002",8.55077519379845
"2015",10,"E172601002",8.26899224806201
"2016",10,"E172601002",6.99922480620155
"2017",10,"E172601002",5.68139534883721
"2018",10,"E172601002",5.31279069767442
"2019",10,"E172601002",4.6608527131783
"2020",10,"E172601002",5.30232558139535
"2021",10,"E172601002",5.76976744186046
"2022",10,"E172601002",5.83953488372093
"2023",10,"E172601002",5.62829457364341
"2024",10,"E172601002",6.49573643410853
"2000",10,"E172751001",4.33294797687861
"2001",10,"E172751001",5.20693641618497
"2002",10,"E172751001",4.98959537572254
"2003",10,"E172751001",4.07919075144509
"2004",10,"E172751001",3.46011560693642
"2005",10,"E172751001",3.26531791907514
"2006",10,"E172751001",3.55317919075145
"2007",10,"E172751001",3.95664739884393
"2008",10,"E172751001",4.87225433526012
"2009",10,"E172751001",4.75664739884393
"2010",10,"E172751001",3.93757225433526
"2011",10,"E172751001",3.70578034682081
"2012",10,"E172751001",4.06184971098266
"2013",10,"E172751001",3.9364161849711
"2014",10,"E172751001",4.24739884393064
"2015",10,"E172751001",3.83526011560694
"2016",10,"E172751001",3.95606936416185
"2017",10,"E172751001",2.89768786127168
"2018",10,"E172751001",2.07225433526012
"2019",10,"E172751001",2.39306358381503
"2020",10,"E172751001",2.19884393063584
"2021",10,"E172751001",3.2271676300578
"2022",10,"E172751001",2.78092485549133
"2023",10,"E172751001",1.80751445086705
"2024",10,"E172751001",4.52138728323699
"2000",10,"E176601001",3.83710407239819
"2001",10,"E176601001",4.17307692307692
"2002",10,"E176601001",3.63574660633484
"2003",10,"E176601001",3.09049773755656
"2004",10,"E176601001",3.05769230769231
"2005",10,"E176601001",2.65045248868778
"2006",10,"E176601001",2.8552036199095
"2007",10,"E176601001",2.91289592760181
"2008",10,"E176601001",3.31787330316742
"2009",10,"E176601001",4.23076923076923
"2010",10,"E176601001",4.23529411764706
"2011",10,"E176601001",3.19909502262443
"2012",10,"E176601001",4.09049773755656
"2013",10,"E176601001",4.21153846153846
"2014",10,"E176601001",2.61085972850679
"2015",10,"E176601001",3.13461538461538
"2016",10,"E176601001",3.35294117647059
"2017",10,"E176601001",2.35633484162896
"2018",10,"E176601001",2.39932126696833
"2019",10,"E176601001",1.30316742081448
"2020",10,"E176601001",1.96266968325792
"2021",10,"E176601001",2.55542986425339
"2022",10,"E176601001",1.72850678733032
"2023",10,"E176601001",1.77601809954751
"2024",10,"E176601001",3.67081447963801
"2000",10,"E182702001",3.24791666666667
"2001",10,"E182702001",3.05166666666667
"2002",10,"E182702001",3.63041666666667
"2003",10,"E182702001",1.98708333333333
"2004",10,"E182702001",1.54041666666667
"2005",10,"E182702001",1.36666666666667
"2006",10,"E182702001",1.8975
"2007",10,"E182702001",2.02958333333333
"2008",10,"E182702001",3.86208333333333
"2009",10,"E182702001",0.802083333333333
"2010",10,"E182702001",1.82625
"2011",10,"E182702001",0.944583333333333
"2012",10,"E182702001",1.94125
"2013",10,"E182702001",1.90125
"2014",10,"E182702001",2.6725
"2015",10,"E182702001",2.4225
"2016",10,"E182702001",2.36041666666667
"2017",10,"E182702001",1.38791666666667
"2018",10,"E182702001",0.88625
"2019",10,"E182702001",0.787916666666667
"2020",10,"E182702001",0.92625
"2021",10,"E182702001",2.34583333333333
"2022",10,"E182702001",1.34375
"2023",10,"E182702001",1.50375
"2024",10,"E182702001",4.40958333333333
"2000",10,"E237721001",0.638571428571429
"2001",10,"E237721001",1.76571428571429
"2003",10,"E237721001",0.322857142857143
"2004",10,"E237721001",0.712857142857143
"2005",10,"E237721001",0.324285714285714
"2006",10,"E237721001",0.418571428571429
"2007",10,"E237721001",0.525714285714286
"2008",10,"E237721001",1.18142857142857
"2009",10,"E237721001",0.127142857142857
"2010",10,"E237721001",0.74
"2017",10,"E237721001",0.666666666666667
"2018",10,"E237721001",0.148571428571429
"2019",10,"E237721001",0.361428571428571
"2020",10,"E237721001",0.0571428571428571
"2021",10,"E237721001",0.711428571428572
"2022",10,"E237721001",0
"2023",10,"E237721001",0.942857142857143
"2024",10,"E237721001",1.14857142857143
"2000",10,"E334601001",3.61185185185185
"2001",10,"E334601001",3.03851851851852
"2002",10,"E334601001",1.41925925925926
"2003",10,"E334601001",1.23851851851852
"2004",10,"E334601001",0.953333333333333
"2005",10,"E334601001",1.4437037037037
"2006",10,"E334601001",1.20444444444444
"2007",10,"E334601001",1.76296296296296
"2008",10,"E334601001",1.88592592592593
"2009",10,"E334601001",0.863703703703704
"2010",10,"E334601001",0.863703703703704
"2011",10,"E334601001",0.731111111111111
"2012",10,"E334601001",2.44074074074074
"2013",10,"E334601001",0.57037037037037
"2014",10,"E334601001",2.35851851851852
"2015",10,"E334601001",1.18222222222222
"2016",10,"E334601001",0.772592592592592
"2017",10,"E334601001",0.914074074074074
"2018",10,"E334601001",0.742962962962963
"2019",10,"E334601001",0.566666666666667
